track_number,track_name,window_engagement_score,window_engagement_rate,views_delta,views_delta_per_day,likes_delta,comments_delta,views,likes,comments,word_count,word_count_bucket,repeat_ratio,repeat_bucket,lexical_diversity,engagement_per_100_words
13,ROBBERY,26.74,2.55%,"107,937","8,995","2,628",129,"453,006","15,886","1,478",787,401+,0.57,Med,0.43,5.29
18,FLACKITO JODYE,26.48,2.63%,"204,153","17,013","5,338",34,"285,152","10,702",439,381,201–400,0.64,Med,0.36,10.66
17,FISH N STEAK,24.74,2.44%,"118,902","9,909","2,858",42,"182,744","4,889",100,703,401+,0.64,Med,0.36,3.96
12,WHISKEY,21.71,2.11%,"147,801","12,317","3,023",93,"363,448","13,846",940,624,401+,0.66,Med,0.34,6.93
5,STAY HERE 4 LIFE,20.36,1.99%,"665,796","55,483","12,902",328,"1,714,733","52,715","2,745","1,076",401+,0.74,High,0.26,3.15
8,STOP SNITCHING,19.7,1.9%,"239,594","19,966","4,404",158,"750,965","21,671","1,260",679,401+,0.56,Med,0.44,4.74
16,SWAT TEAM,19.6,1.94%,"114,007","9,501","2,183",26,"204,969","3,677",64,643,401+,0.62,Med,0.38,2.89
15,THE END,17.8,1.71%,"79,644","6,637","1,300",59,"374,941","11,963",902,476,401+,0.58,Med,0.42,7.71
14,DON'T BE DUMB / TRIP BABY,17.28,1.68%,"199,693","16,641","3,270",90,"691,617","20,248","1,295",714,401+,0.63,Med,0.37,4.62
4,STOLE YA FLOW,17.09,1.65%,"472,694","39,391","7,522",278,"1,723,662","52,715","3,778",615,401+,0.58,Med,0.42,5.69
7,NO TRESPASSING,16.6,1.63%,"182,365","15,197","2,901",63,"631,028","16,835",791,606,401+,0.57,Med,0.43,4.82
6,PLAYA,15.11,1.46%,"178,778","14,898","2,526",88,"678,735","18,180",991,726,401+,0.73,High,0.27,4.09
11,AIR FORCE (BLACK DEMARCO),13.84,1.34%,"96,493","8,041","1,243",46,"479,599","11,967",944,571,401+,0.58,Med,0.42,5.06
9,STFU,13.6,1.25%,"88,433","7,369","1,015",94,"391,636","9,424","1,245",651,401+,0.67,Med,0.33,4.67
1,ORDER OF PROTECTION,13.33,1.3%,"228,166","19,014","2,888",77,"878,546","22,353","1,258",522,401+,0.71,High,0.29,5.42
2,HELICOPTER,7.15,0.7%,"4,007,883","333,990","27,524",571,"11,748,215","290,342","13,165",506,401+,0.64,Med,0.36,5.33
3,INTERROGATION (SKIT),6.16,0.61%,"60,027","5,002",358,6,"162,937","2,849",153,115,0–200,0.37,Low,0.63,16.84
10,PUNK ROCKY,4.99,0.49%,"2,639,218","219,935","12,638",262,"11,826,134","320,080","13,345",525,401+,0.73,High,0.27,5.59
19,I Smoked Away My Brain,4.66,0.46%,"1,642,768","136,897","7,516",70,"110,827,724","616,377","6,830",447,401+,0.65,Med,0.35,1.27
